Attributed Touch Time,Install Time,Event Time,Media Source,Channel,Campaign,Campaign ID,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL,Keyword ID,Store Reinstall,Device Download Time,Deeplink URL,OAID,Install App Store,Match Type,Contributor 1 Match Type,Contributor 2 Match Type,Contributor 3 Match Type,Device Category,Google Play Referrer,Google Play Click Time,Google Play Install Begin Time
26/04/20 11:21,27/04/20 11:07,27/04/20 11:07,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,MZ,Aizawl,796007,None,27.56.26.105,FALSE,airtel,airtel,English,1587965871490-5806218994284484036,32c039de-ae89-4b51-8ea0-946daf3083b7,,,,,,android,OPPO-CPH1909,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; CPH1909 Build/O11019),,,,,48:58.0,,,,srn,,,,phone,,,
27/04/20 9:52,27/04/20 11:01,27/04/20 11:01,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,UP,Agra,282001,356010,49.14.112.91,FALSE,Idea,Idea,English,1587961658408-6757839728376092357,658c2237-c4df-4773-a70a-05f4906af96a,,,,,,android,samsung-SM-A107F,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; SM-A107F Build/PPR1.180610.011),,,,,27:07.0,,,,srn,,,,phone,,,
27/04/20 10:58,27/04/20 10:59,27/04/20 10:59,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,KA,Bangalore,560022,356004,157.49.161.18,FALSE,Jio 4G,Jio 4G,English,1587965337880-6807027219194316833,ab932783-37ff-462b-a1fc-01bd5a341eaa,,,,,,android,xiaomi-Redmi 6,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi 6 MIUI/V10.3.6.0.OCGMIXM),,,,,28:40.0,,,,srn,,,,phone,,,
27/04/20 10:55,27/04/20 10:58,27/04/20 10:58,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,BR,Arrah,802301,356011,157.42.2.17,FALSE,Jio 4G,Jio 4G,English,1587965292356-8127027973643341921,dd3aa225-b12f-435d-88b1-6746b5bd3ef1,,,,,,android,xiaomi-Redmi 6A,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi 6A MIUI/V10.2.9.0.OCBMIXM),,,,,27:46.0,,,,srn,,,,phone,,,
27/04/20 9:37,27/04/20 10:57,27/04/20 10:57,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,MH,Mumbai,400101,356002,45.127.45.111,TRUE,Jio 4G,Jio 4G,English,1587965243084-6732881829581379121,376f63af-2679-45df-89e7-89c502a25ed1,,,,,,android,HONOR-LLD-AL20,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; LLD-AL20 Build/HONORLLD-AL20),,,,,08:35.0,,,,srn,,,,phone,,,
27/04/20 10:47,27/04/20 10:57,27/04/20 10:57,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,KA,Bangalore,560009,356004,157.45.252.187,FALSE,JIO,Jio 4G,English,1587965236672-8530815317094154666,18562369-2bd7-41ed-9496-6027abeb2396,,,,,,android,xiaomi-Redmi Note 5 Pro,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; Redmi Note 5 Pro MIUI/V11.0.3.0.PEIMIXM),,,,,26:42.0,,,,srn,,,,phone,,,
27/04/20 9:22,27/04/20 10:56,27/04/20 10:56,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,MH,Achirne,416810,356002,42.107.87.93,FALSE,Vodafone IN,Vodafone IN,English,1587965189895-702447389159993898,2229a64e-85ee-4935-9dbf-301c7040b601,,,,,,android,xiaomi-Redmi Y2,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi Y2 MIUI/V9.5.14.0.OEFMIFA),,,,,09:41.0,,,,srn,,,,phone,,,
27/04/20 10:49,27/04/20 10:55,27/04/20 10:55,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,MH,Mumbai,400060,356002,49.33.164.89,FALSE,Jio 4G,Jio 4G,English,1587965408557-7739714016265211792,993698e5-dbbb-4e71-b5f7-901bf08d9c80,,,,,,android,samsung-SM-G615F,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-G615F Build/M1AJQ),,,,,27:03.0,,,,srn,,,,phone,,,
27/04/20 9:48,27/04/20 10:55,27/04/20 10:55,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,KA,Mangalore,574199,356004,27.97.26.206,FALSE,!dea,!dea,English,1587965093748-4314603786908839794,970953d9-6779-4978-aafc-0c8170a7bd2b,,,,,,android,OPPO-CPH1729,7.1.1,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 7.1.1; CPH1729 Build/N6F26Q),,,,,48:14.0,,,,srn,,,,phone,,,
27/04/20 10:16,27/04/20 10:54,27/04/20 10:54,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,KA,Hubli,580020,356004,106.217.32.112,FALSE,airtel,airtel,English,1587965039928-8253096034870942361,3674e611-3566-42ba-967d-c3cb46676aac,,,,,,android,Xiaomi-Redmi 8A,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; Redmi 8A MIUI/V11.0.8.0.PCPINXM),,,,,05:15.0,,,,srn,,,,phone,,,
15/04/20 18:28,27/04/20 10:53,27/04/20 10:53,googleadwords_int,UAC_Search,Superstars - Android,9644181011,AS,IN,RJ,Jaipur,302016,356001,223.238.220.209,FALSE,airtel,airtel,English,1587964595069-8183361320009480522,164cbafc-a71d-4479-a297-806d1a1174b5,,,,,,android,Xiaomi-Redmi 5A,7.1.2,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi 5A MIUI/V10.1.1.0.NCKMIFI),,,,,16:20.0,,,,srn,,,,phone,,,
26/04/20 23:20,27/04/20 10:52,27/04/20 10:52,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,AP,Bhimavaram,534201,356009,157.44.237.7,FALSE,Jio 4G,Jio 4G,English,1587964926216-8277066730944552480,1e0a77a7-e36e-42dc-b520-2e0c959b85a1,,,,,,android,samsung-SM-A507FN,10,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 10; SM-A507FN Build/QP1A.190711.020),,,,,15:52.0,,,,srn,,,,phone,,,
27/04/20 10:41,27/04/20 10:52,27/04/20 10:52,googleadwords_int,UAC_Search,Superstars - Android,9644181011,AS,IN,DL,Delhi,110092,356001,42.108.169.4,FALSE,Vodafone IN,Vodafone IN,English,1587964847235-2751108938836513193,4eb38c4d-4511-46e5-96d4-7226ed733edd,,,,,,android,OPPO-CPH1881,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; CPH1881 Build/PPR1.180610.011),,,,,19:40.0,,,,srn,,,,phone,,,
26/04/20 23:25,27/04/20 10:52,27/04/20 10:52,googleadwords_int,UAC_Search,Superstars - Android,9644181011,AS,IN,HR,Rohtak,124001,356001,157.36.245.30,FALSE,Jio 4G,Jio 4G,English,1587964916605-7041842113730350613,ad7dcd6d-8dc5-44e3-85c2-616e0eaedc67,,,,,,android,xiaomi-Redmi Note 8,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; Redmi Note 8 MIUI/V11.0.4.0.PCOINXM),,,,,05:52.0,,,,srn,,,,phone,,,
26/04/20 21:47,27/04/20 10:51,27/04/20 10:51,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,BR,B. Dhanushi,843323,356011,157.42.108.6,FALSE,Jio 4G,Jio 4G,English,1587963088514-7177667008668232472,e35baa7c-51c5-4926-98c4-36341fb4a8cf,,,,,,android,vivo-vivo 1606,6.0.1,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 6.0.1; vivo 1606 Build/MMB29M),,,,,05:17.0,,,,srn,,,,phone,,,
27/04/20 10:44,27/04/20 10:51,27/04/20 10:51,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,BR,Lakhisarai,811201,356011,223.187.128.253,FALSE,Jio 4G,airtel,English,1587964861839-6809561874725432372,a8789e29-dc0b-4744-89b3-42ec3cfa17fa,,,,,,android,vivo-vivo 1807,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo 1807 Build/OPM1.171019.026),,,,,16:30.0,,,,srn,,,,phone,,,
27/04/20 10:09,27/04/20 10:50,27/04/20 10:50,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,CH,Chandigarh,160019,None,157.39.165.1,FALSE,Jio 4G,Jio 4G,English,1587964691159-7133653034168029048,57ab8d7e-4d39-4825-9a7e-b9d293e92cb7,,,,,,android,OPPO-CPH1803,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; CPH1803 Build/OPM1.171019.026),,,,,12:37.0,,,,srn,,,,phone,,,
27/04/20 0:12,27/04/20 10:50,27/04/20 10:50,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,GJ,Morbi,360001,356008,106.77.141.83,FALSE,!dea,!dea,English,1587964802071-1054876570890463826,ac86f4d5-19f8-4d1b-b0b1-58bc633e0fdc,,,,,,android,Xiaomi-Mi A3,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; Mi A3 Build/PKQ1.190416.001),,,,,46:49.0,,,,srn,,,,phone,,,
26/04/20 20:46,27/04/20 10:50,27/04/20 10:50,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,PB,Ludhiana,141010,None,157.39.62.73,FALSE,Jio 4G,Jio 4G,English,1587964797426-6553644956782317685,d7c5a86a-d01e-4e7d-ae39-b2dd53b4821f,,,,,,android,vivo-vivo 1915,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; vivo 1915 Build/PPR1.180610.011),,,,,37:27.0,,,,srn,,,,phone,,,
23/04/20 18:41,27/04/20 10:49,27/04/20 10:49,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,OR,Khurda,751003,None,157.41.96.232,FALSE,Jio 4G,Jio 4G,English,1587964761921-2995314592027178177,68f0799a-6a99-4875-9053-2e7fb07615da,,,,,,android,samsung-SM-J600G,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; SM-J600G Build/PPR1.180610.011),,,,,13:00.0,,,,srn,,,,phone,,,
27/04/20 10:48,27/04/20 10:49,27/04/20 10:49,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,RJ,Jaipur,302004,356001,223.238.206.120,FALSE,airtel,IND airtel,English,1587964737435-738157179013969034,55d61ecf-3527-45b6-9d58-8d97c82e9ee8,,,,,,android,OPPO-CPH1823,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; CPH1823 Build/PPR1.180610.011),,,,,18:41.0,,,,srn,,,,phone,,,
27/04/20 8:30,27/04/20 10:48,27/04/20 10:48,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,AS,Bongra,781015,356012,47.29.208.93,FALSE,Jio 4G,Jio 4G,English,1587956540292-4680886821731282936,209675e3-9c5a-4fb9-84c1-1e108ee7fa20,,,,,,android,samsung-SM-J710F,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-J710F Build/M1AJQ),,,,,47:05.0,,,,srn,,,,phone,,,
27/04/20 10:42,27/04/20 10:48,27/04/20 10:48,googleadwords_int,UAC_Search,Superstars - Android,9644181011,AS,IN,AP,Rajahmundry,533101,356009,157.44.70.183,FALSE,Jio 4G,Jio 4G,English,1587964686537-3598632917439546132,5deed4c2-eeb2-47cb-94bd-17d7531ecfe7,,,,,,android,samsung-SM-A720F,8.0.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-A720F Build/R16NW),,,,,17:46.0,,,,srn,,,,phone,,,
26/04/20 22:27,27/04/20 10:47,27/04/20 10:47,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,TG,Hyderabad,500081,356006,157.44.69.40,FALSE,Jio 4G,Jio 4G,English,1587964654763-1430768852020175898,6a61e526-56cb-4e1e-b311-86210ebcc8f0,,,,,,android,realme-RMX1971,10,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 10; RMX1971 Build/QKQ1.190918.001),,,,,01:56.0,,,,srn,,,,phone,,,
27/04/20 10:07,27/04/20 10:47,27/04/20 10:47,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,UP,Lucknow,226021,356010,157.43.61.30,FALSE,airtel,JIO 4G,English,1587964634473-2814886819324312866,de31879e-b077-46ea-b014-24886273c11d,,,,,,android,OPPO-CPH1609,6,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 6.0; CPH1609 Build/MRA58K),,,,,40:07.0,,,,srn,,,,phone,,,
27/04/20 10:32,27/04/20 10:46,27/04/20 10:46,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,DL,Delhi,110055,356001,103.199.123.55,TRUE,airtel,airtel,English,1587964560316-553203111466115363,e05fe010-d090-42f8-b370-16cab26f75fa,,,,,,android,xiaomi-Redmi Note 6 Pro,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; Redmi Note 6 Pro MIUI/V11.0.3.0.PEKMIXM),,,,,05:16.0,,,,srn,,,,phone,,,
27/04/20 8:35,27/04/20 10:45,27/04/20 10:45,googleadwords_int,UAC_Search,Superstars - Android,9644181011,AS,IN,DL,Delhi,110063,356001,106.223.111.188,FALSE,airtel,airtel,English,1587964545343-6276294050483259449,f30a4084-e567-49f5-a202-d725cc0255b5,,,,,,android,samsung-SM-M305F,10,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 10; SM-M305F Build/QP1A.190711.020),,,,,10:43.0,,,,srn,,,,phone,,,
27/04/20 10:40,27/04/20 10:45,27/04/20 10:45,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,MP,Indore,452003,None,27.97.69.122,FALSE,Idea,Idea,English,1587964518747-6745930524205096483,96e8c954-b116-4a94-9bdf-0f908d316d90,,,,,,android,samsung-SM-J600G,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; SM-J600G Build/PPR1.180610.011),,,,,12:04.0,,,,srn,,,,phone,,,
26/04/20 9:57,27/04/20 10:44,27/04/20 10:44,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,WB,Calcutta,700068,356003,47.15.199.241,FALSE,Jio 4G,Jio 4G,English,1587964485795-4554215567127389473,39b04a23-7d9d-4e92-a5b1-1553679fe967,,,,,,android,samsung-SM-A205F,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; SM-A205F Build/PPR1.180610.011),,,,,51:06.0,,,,srn,,,,phone,,,
